path	size_bytes
AanvlocDrent.xlsx	80591
Rijkswaterstaat data bestand_Maas.xlsx	31329893
Rijkswaterstaat data bestand_Rijn.xlsx	10929013
SI_2_table.xlsx	14275
adm_landsgrens.csv	3442428
lokatie info_Drents Overijsselse Delta.xlsx	163535
